# of Boxes,16
# of Species,2
# of Eggs,13
# of Chicks Hatched,8
# of Fledglings,8
# of Complete Nests,3
# of Incomplete Nests,5
Fledglings per Eggs Laid,0.62
Fledglings per Eggs Hatched,1
Average # of Eggs per Complete Nest,4.33
Average # of Fledglings per Complete Nest,2.67
Ratio of Boxes Used,0.19
# of predators removed,18
# of maintenance events,27
